subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p07,1,2,1,nogo,left,NA,1,strong,NA,NA,0.0,0.2,0.25,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.3,0.2,0.5,1.3,right,4,0.01779085278940329
p07,1,2,2,catch,NA,right,1,catch,0.729,2.702,1.8,0.2,2.05,0.0,2.05,0.0,2.05,0.25,2.3,1.3,right,4,2.9618186090374365e-05
p07,1,2,3,go,right,right,1,strong,0.534,4.213,3.6,0.2,3.85,0.016666666666666666,3.8666666666666667,0.03333333333333333,3.9,0.2,4.1,1.3,right,4,0.017682643770967843
p07,1,2,4,nogo,left,NA,1,weak,NA,NA,5.4,0.2,5.65,0.06666666666666667,5.716666666666667,0.03333333333333333,5.75,0.15,5.9,1.3,right,4,0.07115666642312135
p07,1,2,5,nogo,left,NA,1,weak,NA,NA,7.2,0.2,7.45,0.06666666666666667,7.516666666666667,0.03333333333333333,7.55,0.15,7.7,1.3,right,4,0.0710103349883866
p07,1,2,6,go,right,right,1,strong,0.427,9.333,9.0,0.2,9.25,0.016666666666666666,9.266666666666667,0.03333333333333333,9.3,0.2,9.5,1.3,right,4,0.017819297978348914
p07,1,2,7,nogo,left,right,0,strong,0.569,11.181,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,right,4,0.01779231903674372
p07,1,2,8,nogo,left,NA,1,strong,NA,NA,12.6,0.2,12.85,0.016666666666666666,12.866666666666667,0.03333333333333333,12.9,0.2,13.1,1.3,right,4,0.01771666069907951
p07,1,2,9,go,right,right,1,strong,0.551,14.577,14.4,0.2,14.65,0.016666666666666666,14.666666666666666,0.03333333333333333,14.7,0.2,14.9,1.3,right,4,0.017610797676752554
p07,1,2,10,Rest,Rest,Rest,Rest,Rest,Rest,Rest,16.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p07,1,2,11,go,right,right,1,strong,0.445,18.097,18.0,0.2,18.25,0.016666666666666666,18.266666666666666,0.03333333333333333,18.3,0.2,18.5,1.3,right,4,0.017796717776946025
p07,1,2,12,go,right,right,1,weak,0.392,19.804,19.8,0.2,20.05,0.06666666666666667,20.116666666666667,0.03333333333333333,20.15,0.15,20.3,1.3,right,4,0.07105138989936677
p07,1,2,13,nogo,left,NA,1,weak,NA,NA,21.6,0.2,21.85,0.06666666666666667,21.916666666666668,0.03333333333333333,21.95,0.15,22.1,1.3,right,4,0.0710795418399357
p07,1,2,14,nogo,left,NA,1,weak,NA,NA,23.4,0.2,23.65,0.06666666666666667,23.716666666666665,0.03333333333333333,23.75,0.15,23.9,1.3,right,4,0.07109244481034693
p07,1,2,15,nogo,left,NA,1,weak,NA,NA,25.2,0.2,25.45,0.06666666666666667,25.516666666666666,0.03333333333333333,25.55,0.15,25.7,1.3,right,4,0.07106575911711843
