subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p05,1,1,1,go,right,right,1,strong,1.014,1.334,0.0,0.2,0.25,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.3,0.2,0.5,1.3,right,12,0.0177392409004824
p05,1,1,2,nogo,left,right,0,strong,0.836,2.863,1.8,0.2,2.05,0.016666666666666666,2.066666666666667,0.03333333333333333,2.1,0.2,2.3,1.3,right,12,0.0176855762665582
p05,1,1,3,nogo,left,NA,1,weak,NA,NA,3.6,0.2,3.85,0.2,4.05,0.03333333333333333,4.083333333333333,0.016666666666666666,4.1,1.3,right,12,0.21344683257029828
p05,1,1,4,nogo,left,NA,1,weak,NA,NA,5.4,0.2,5.65,0.2,5.85,0.03333333333333333,5.883333333333334,0.016666666666666666,5.9,1.3,right,12,0.21318496088133543
p05,1,1,5,nogo,left,NA,1,weak,NA,NA,7.2,0.2,7.45,0.2,7.65,0.03333333333333333,7.683333333333334,0.016666666666666666,7.7,1.3,right,12,0.21339023544078373
p05,1,1,6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,9.0,5.4,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,5.4
p05,1,1,7,nogo,left,right,0,strong,0.658,15.858,14.4,0.2,14.65,0.016666666666666666,14.666666666666666,0.03333333333333333,14.7,0.2,14.9,1.3,right,12,0.01783601319311856
p05,1,1,8,go,right,right,1,weak,0.231,17.334,16.2,0.2,16.45,0.2,16.65,0.03333333333333333,16.683333333333334,0.016666666666666666,16.7,1.3,right,12,0.2132591529725687
p05,1,1,9,catch,NA,right,1,catch,0.623,19.379,18.0,0.2,18.25,0.0,18.25,0.0,18.25,0.25,18.5,1.3,right,12,1.9061209059145767e-05
p05,1,1,10,nogo,left,NA,1,weak,NA,NA,19.8,0.2,20.05,0.2,20.25,0.03333333333333333,20.283333333333335,0.016666666666666666,20.3,1.3,right,12,0.21327733443376928
p05,1,1,11,nogo,left,NA,1,weak,NA,NA,21.6,0.2,21.85,0.2,22.05,0.03333333333333333,22.083333333333332,0.016666666666666666,22.1,1.3,right,12,0.21330636612128728
p05,1,1,12,nogo,left,right,0,strong,0.569,24.836,23.4,0.2,23.65,0.016666666666666666,23.666666666666668,0.03333333333333333,23.7,0.2,23.9,1.3,right,12,0.0177436396415942
p05,1,1,13,go,right,right,1,weak,0.356,26.525,25.2,0.2,25.45,0.2,25.65,0.03333333333333333,25.683333333333334,0.016666666666666666,25.7,1.3,right,12,0.21343275660001382
p05,1,1,14,go,right,right,1,weak,0.303,28.374,27.0,0.2,27.25,0.2,27.45,0.03333333333333333,27.483333333333334,0.016666666666666666,27.5,1.3,right,12,0.2133084188662906
p05,1,1,15,go,right,right,1,strong,0.729,30.507,28.8,0.2,29.05,0.016666666666666666,29.066666666666666,0.03333333333333333,29.1,0.2,29.3,1.3,right,12,0.01789935505712492
p05,1,1,16,nogo,left,right,0,strong,0.64,32.125,30.6,0.2,30.85,0.016666666666666666,30.866666666666667,0.03333333333333333,30.9,0.2,31.1,1.3,right,12,0.017837479439549497
p05,1,1,17,go,right,right,1,strong,0.569,33.761,32.4,0.2,32.65,0.016666666666666666,32.666666666666664,0.03333333333333333,32.7,0.2,32.9,1.3,right,12,0.017865924628495122
p05,1,1,18,Rest,Rest,Rest,Rest,Rest,Rest,Rest,34.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,19,go,right,right,1,weak,0.32,37.334,36.0,0.2,36.25,0.2,36.45,0.03333333333333333,36.483333333333334,0.016666666666666666,36.5,1.3,right,12,0.21333129231788917
p05,1,1,20,nogo,left,NA,1,weak,NA,NA,37.8,0.2,38.05,0.2,38.25,0.03333333333333333,38.28333333333333,0.016666666666666666,38.3,1.3,right,12,0.21331838934565894
p05,1,1,21,go,right,right,1,weak,0.232,41.05,39.6,0.2,39.85,0.2,40.05,0.03333333333333333,40.083333333333336,0.016666666666666666,40.1,1.3,right,12,0.2134397945847013
p05,1,1,22,nogo,left,right,0,strong,0.463,42.988,41.4,0.2,41.65,0.016666666666666666,41.666666666666664,0.03333333333333333,41.7,0.2,41.9,1.3,right,12,0.01780932749989006
p05,1,1,23,nogo,left,right,0,strong,0.605,44.837,43.2,0.2,43.45,0.016666666666666666,43.46666666666667,0.03333333333333333,43.5,0.2,43.7,1.3,right,12,0.017742759893735638
p05,1,1,24,go,right,right,1,weak,0.32,46.454,45.0,0.2,45.25,0.2,45.45,0.03333333333333333,45.483333333333334,0.016666666666666666,45.5,1.3,right,12,0.21332014884228556
p05,1,1,25,go,right,right,1,strong,0.57,48.41,46.8,0.2,47.05,0.016666666666666666,47.06666666666667,0.03333333333333333,47.1,0.2,47.3,1.3,right,12,0.017730736668454483
p05,1,1,26,nogo,left,NA,1,weak,NA,NA,48.6,0.2,48.85,0.2,49.05,0.03333333333333333,49.083333333333336,0.016666666666666666,49.1,1.3,right,12,0.21336589574275422
p05,1,1,27,go,right,right,1,strong,0.428,51.877,50.4,0.2,50.65,0.016666666666666666,50.666666666666664,0.03333333333333333,50.7,0.2,50.9,1.3,right,12,0.017723112185194623
p05,1,1,28,go,right,right,1,strong,0.623,53.779,52.2,0.2,52.45,0.016666666666666666,52.46666666666667,0.03333333333333333,52.5,0.2,52.7,1.3,right,12,0.017726924426824553
p05,1,1,29,nogo,left,NA,1,weak,NA,NA,54.0,0.2,54.25,0.2,54.45,0.03333333333333333,54.483333333333334,0.016666666666666666,54.5,1.3,right,12,0.2132638449629667
p05,1,1,30,catch,NA,right,1,catch,0.445,57.157,55.8,0.2,56.05,0.0,56.05,0.0,56.05,0.25,56.3,1.3,right,12,1.964770763152046e-05
p05,1,1,31,go,right,right,1,weak,0.232,58.846,57.6,0.2,57.85,0.2,58.05,0.03333333333333333,58.083333333333336,0.016666666666666666,58.1,1.3,right,12,0.2133081256170044
p05,1,1,32,go,right,right,1,weak,0.338,60.854,59.4,0.2,59.65,0.2,59.85,0.03333333333333333,59.88333333333333,0.016666666666666666,59.9,1.3,right,12,0.21331428385383333
p05,1,1,33,Rest,Rest,Rest,Rest,Rest,Rest,Rest,61.2,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p05,1,1,34,catch,NA,right,1,catch,0.48,66.49,64.8,0.2,65.05,0.0,65.05,0.0,65.05,0.25,65.3,1.3,right,12,2.6685693228500895e-05
p05,1,1,35,nogo,left,right,0,strong,0.48,68.197,66.6,0.2,66.85,0.016666666666666666,66.86666666666666,0.03333333333333333,66.9,0.2,67.1,1.3,right,12,0.017754196617715934
p05,1,1,36,Rest,Rest,Rest,Rest,Rest,Rest,Rest,68.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,37,catch,NA,right,1,catch,0.552,71.841,70.2,0.2,70.45,0.0,70.45,0.0,70.45,0.25,70.7,1.3,right,12,1.964770763152046e-05
p05,1,1,38,Rest,Rest,Rest,Rest,Rest,Rest,Rest,72.0,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,39,go,right,right,1,strong,0.445,75.361,73.8,0.2,74.05,0.016666666666666666,74.06666666666666,0.03333333333333333,74.1,0.2,74.3,1.3,right,12,0.01772516493110743
p05,1,1,40,go,right,right,1,strong,0.427,77.05,75.6,0.2,75.85,0.016666666666666666,75.86666666666666,0.03333333333333333,75.9,0.2,76.1,1.3,right,12,0.017695839993393747
p05,1,1,41,nogo,left,right,0,strong,0.445,78.775,77.4,0.2,77.65,0.016666666666666666,77.66666666666667,0.03333333333333333,77.7,0.2,77.9,1.3,right,12,0.017604639439014136
p05,1,1,42,Rest,Rest,Rest,Rest,Rest,Rest,Rest,79.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,1,nogo,left,right,0,strong,0.498,87.788,84.2,0.2,84.45,0.016666666666666666,84.46666666666667,0.03333333333333333,84.5,0.2,84.7,1.3,right,12,0.017681764024018776
p05,1,1,2,go,right,right,1,weak,0.214,89.406,86.0,0.2,86.25,0.2,86.45,0.03333333333333333,86.48333333333333,0.016666666666666666,86.5,1.3,right,12,0.2132298280357645
p05,1,1,3,go,right,right,1,weak,0.249,91.344,87.8,0.2,88.05,0.2,88.25,0.03333333333333333,88.28333333333333,0.016666666666666666,88.3,1.3,right,12,0.21341222914361424
p05,1,1,4,nogo,left,right,0,weak,0.249,93.246,89.6,0.2,89.85,0.2,90.05,0.03333333333333333,90.08333333333333,0.016666666666666666,90.1,1.3,right,12,0.21342513211584446
p05,1,1,5,nogo,left,NA,1,weak,NA,NA,91.4,0.2,91.65,0.2,91.85,0.03333333333333333,91.88333333333334,0.016666666666666666,91.9,1.3,right,12,0.21335123327480687
p05,1,1,6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,93.2,5.4,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,5.4
p05,1,1,7,nogo,left,right,0,strong,0.534,102.9,98.6,0.2,98.85,0.016666666666666666,98.86666666666666,0.03333333333333333,98.9,0.2,99.1,1.3,right,12,0.01778850679511379
p05,1,1,8,go,right,right,1,strong,0.516,104.589,100.4,0.2,100.65,0.016666666666666666,100.66666666666667,0.03333333333333333,100.7,0.2,100.9,1.3,right,12,0.01786328538400994
p05,1,1,9,nogo,left,NA,1,weak,NA,NA,102.2,0.2,102.45,0.2,102.65,0.03333333333333333,102.68333333333334,0.016666666666666666,102.7,1.3,right,12,0.21334067629777564
p05,1,1,10,go,right,right,1,weak,0.231,108.108,104.0,0.2,104.25,0.2,104.45,0.03333333333333333,104.48333333333333,0.016666666666666666,104.5,1.3,right,12,0.213355338765723
p05,1,1,11,nogo,left,NA,1,weak,NA,NA,105.8,0.2,106.05,0.2,106.25,0.03333333333333333,106.28333333333333,0.016666666666666666,106.3,1.3,right,12,0.21345005831335584
p05,1,1,12,go,right,right,1,weak,0.267,111.949,107.6,0.2,107.85,0.2,108.05,0.03333333333333333,108.08333333333333,0.016666666666666666,108.1,1.3,right,12,0.21337821221641207
p05,1,1,13,nogo,left,NA,1,weak,NA,NA,109.4,0.2,109.65,0.2,109.85,0.03333333333333333,109.88333333333334,0.016666666666666666,109.9,1.3,right,12,0.21326736395531043
p05,1,1,14,Rest,Rest,Rest,Rest,Rest,Rest,Rest,111.2,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p05,1,1,15,nogo,left,NA,1,weak,NA,NA,114.8,0.2,115.05,0.2,115.25,0.03333333333333333,115.28333333333333,0.016666666666666666,115.3,1.3,right,12,0.21316384692727297
p05,1,1,16,go,right,right,1,strong,0.765,121.798,116.6,0.2,116.85,0.016666666666666666,116.86666666666666,0.03333333333333333,116.9,0.2,117.1,1.3,right,12,0.01787648160552635
p05,1,1,17,nogo,left,right,0,strong,0.516,123.255,118.4,0.2,118.65,0.016666666666666666,118.66666666666667,0.03333333333333333,118.7,0.2,118.9,1.3,right,12,0.017812846492233803
p05,1,1,18,nogo,left,NA,1,weak,NA,NA,120.2,0.2,120.45,0.2,120.65,0.03333333333333333,120.68333333333334,0.016666666666666666,120.7,1.3,right,12,0.2132858386648877
p05,1,1,19,go,right,right,1,strong,0.409,126.758,122.0,0.2,122.25,0.016666666666666666,122.26666666666667,0.03333333333333333,122.3,0.2,122.5,1.3,right,12,0.017747158633028448
p05,1,1,20,go,right,right,1,strong,0.605,128.66,123.8,0.2,124.05,0.016666666666666666,124.06666666666666,0.03333333333333333,124.1,0.2,124.3,1.3,right,12,0.01782340346926503
p05,1,1,21,catch,NA,right,1,catch,0.552,130.26,125.6,0.2,125.85,0.0,125.85,0.0,125.85,0.25,126.1,1.3,right,12,1.9061209059145767e-05
p05,1,1,22,go,right,right,1,weak,0.267,131.878,127.4,0.2,127.65,0.2,127.85,0.03333333333333333,127.88333333333334,0.016666666666666666,127.9,1.3,right,12,0.21326296521419863
p05,1,1,23,go,right,right,1,weak,0.338,133.851,129.2,0.2,129.45,0.2,129.65,0.03333333333333333,129.68333333333334,0.016666666666666666,129.7,1.3,right,12,0.2134999107056501
p05,1,1,24,go,right,right,1,strong,0.605,135.825,131.0,0.2,131.25,0.016666666666666666,131.26666666666668,0.03333333333333333,131.3,0.2,131.5,1.3,right,12,0.01783923893526662
p05,1,1,25,go,right,right,1,weak,0.285,137.407,132.8,0.2,133.05,0.2,133.25,0.03333333333333333,133.28333333333333,0.016666666666666666,133.3,1.3,right,12,0.21335416576857824
p05,1,1,26,go,right,right,1,strong,0.48,139.309,134.6,0.2,134.85,0.016666666666666666,134.86666666666667,0.03333333333333333,134.9,0.2,135.1,1.3,right,12,0.017848622916062595
p05,1,1,27,Rest,Rest,Rest,Rest,Rest,Rest,Rest,136.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,28,nogo,left,right,0,strong,0.498,142.954,138.2,0.2,138.45,0.016666666666666666,138.46666666666667,0.03333333333333333,138.5,0.2,138.7,1.3,right,12,0.017720472940709442
p05,1,1,29,catch,NA,right,1,catch,0.516,144.625,140.0,0.2,140.25,0.0,140.25,0.0,140.25,0.25,140.5,1.3,right,12,1.8181461200583726e-05
p05,1,1,30,catch,NA,right,1,catch,0.463,146.225,141.8,0.2,142.05,0.0,142.05,0.0,142.05,0.25,142.3,1.3,right,12,2.0527456399577204e-05
p05,1,1,31,Rest,Rest,Rest,Rest,Rest,Rest,Rest,143.6,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p05,1,1,32,nogo,left,right,0,strong,0.427,151.736,147.2,0.2,147.45,0.016666666666666666,147.46666666666667,0.03333333333333333,147.5,0.2,147.7,1.3,right,12,0.017748331631082692
p05,1,1,33,nogo,left,NA,1,weak,NA,NA,149.0,0.2,149.25,0.2,149.45,0.03333333333333333,149.48333333333332,0.016666666666666666,149.5,1.3,right,12,0.21333158556717535
p05,1,1,34,catch,NA,right,1,catch,0.374,155.238,150.8,0.2,151.05,0.0,151.05,0.0,151.05,0.25,151.3,1.3,right,12,1.9647708541015163e-05
p05,1,1,35,Rest,Rest,Rest,Rest,Rest,Rest,Rest,152.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,36,nogo,left,right,0,strong,0.427,158.918,154.4,0.2,154.65,0.016666666666666666,154.66666666666666,0.03333333333333333,154.7,0.2,154.9,1.3,right,12,0.01770317122736742
p05,1,1,37,nogo,left,right,0,strong,0.374,160.571,156.2,0.2,156.45,0.016666666666666666,156.46666666666667,0.03333333333333333,156.5,0.2,156.7,1.3,right,12,0.01775800886025536
p05,1,1,38,go,right,right,1,strong,0.587,162.491,158.0,0.2,158.25,0.016666666666666666,158.26666666666668,0.03333333333333333,158.3,0.2,158.5,1.3,right,12,0.017812846493143297
p05,1,1,39,nogo,left,right,0,strong,0.48,164.091,159.8,0.2,160.05,0.016666666666666666,160.06666666666666,0.03333333333333333,160.1,0.2,160.3,1.3,right,12,0.017681177524536906
p05,1,1,40,go,right,right,1,strong,0.428,165.745,161.6,0.2,161.85,0.016666666666666666,161.86666666666667,0.03333333333333333,161.9,0.2,162.1,1.3,right,12,0.017747158633937943
p05,1,1,41,go,right,right,1,weak,0.231,167.452,163.4,0.2,163.65,0.2,163.85,0.03333333333333333,163.88333333333333,0.016666666666666666,163.9,1.3,right,12,0.21337439997478214
p05,1,1,1,nogo,left,right,0,strong,0.498,173.692,167.4,0.2,167.65,0.016666666666666666,167.66666666666666,0.03333333333333333,167.7,0.2,167.9,1.3,right,12,0.01778557430134242
p05,1,1,2,go,right,right,1,weak,0.196,175.292,169.2,0.2,169.45,0.2,169.65,0.03333333333333333,169.68333333333334,0.016666666666666666,169.7,1.3,right,12,0.2134175076325846
p05,1,1,3,nogo,left,NA,1,weak,NA,NA,171.0,0.2,171.25,0.2,171.45,0.03333333333333333,171.48333333333332,0.016666666666666666,171.5,1.3,right,12,0.21332748007534974
p05,1,1,4,nogo,left,NA,1,weak,NA,NA,172.8,0.2,173.05,0.2,173.25,0.03333333333333333,173.28333333333333,0.016666666666666666,173.3,1.3,right,12,0.21344184732970461
p05,1,1,5,nogo,left,right,0,strong,0.463,181.069,174.6,0.2,174.85,0.016666666666666666,174.86666666666667,0.03333333333333333,174.9,0.2,175.1,1.3,right,12,0.017772964578398387
p05,1,1,6,go,right,right,1,strong,0.445,182.758,176.4,0.2,176.65,0.016666666666666666,176.66666666666666,0.03333333333333333,176.7,0.2,176.9,1.3,right,12,0.01775888860811392
p05,1,1,7,go,right,right,1,weak,0.32,184.536,178.2,0.2,178.45,0.2,178.65,0.03333333333333333,178.68333333333334,0.016666666666666666,178.7,1.3,right,12,0.21330519312323304
p05,1,1,8,nogo,left,NA,1,weak,NA,NA,180.0,0.2,180.25,0.2,180.45,0.03333333333333333,180.48333333333332,0.016666666666666666,180.5,1.3,right,12,0.21324625000033848
p05,1,1,9,nogo,left,right,0,strong,0.409,188.234,181.8,0.2,182.05,0.016666666666666666,182.06666666666666,0.03333333333333333,182.1,0.2,182.3,1.3,right,12,0.01776240760136716
p05,1,1,10,nogo,left,NA,1,weak,NA,NA,183.6,0.2,183.85,0.2,184.05,0.03333333333333333,184.08333333333334,0.016666666666666666,184.1,1.3,right,12,0.21323803901850624
p05,1,1,11,go,right,right,1,strong,0.409,191.843,185.4,0.2,185.65,0.016666666666666666,185.66666666666666,0.03333333333333333,185.7,0.2,185.9,1.3,right,12,0.017814019489378552
p05,1,1,12,nogo,left,NA,1,weak,NA,NA,187.2,0.2,187.45,0.2,187.65,0.03333333333333333,187.68333333333334,0.016666666666666666,187.7,1.3,right,12,0.21330255387965735
p05,1,1,13,Rest,Rest,Rest,Rest,Rest,Rest,Rest,189.0,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,14,go,right,right,1,weak,0.249,197.408,190.8,0.2,191.05,0.2,191.25,0.03333333333333333,191.28333333333333,0.016666666666666666,191.3,1.3,right,12,0.21328495891702914
p05,1,1,15,go,right,right,1,weak,0.16,199.221,192.6,0.2,192.85,0.2,193.05,0.03333333333333333,193.08333333333334,0.016666666666666666,193.1,1.3,right,12,0.21322630904342077
p05,1,1,16,Rest,Rest,Rest,Rest,Rest,Rest,Rest,194.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,17,go,right,right,1,weak,0.232,203.114,196.2,0.2,196.45,0.2,196.65,0.03333333333333333,196.68333333333334,0.016666666666666666,196.7,1.3,right,12,0.21329404964762944
p05,1,1,18,nogo,left,right,0,strong,0.48,205.07,198.0,0.2,198.25,0.016666666666666666,198.26666666666668,0.03333333333333333,198.3,0.2,198.5,1.3,right,12,0.017823110219978844
p05,1,1,19,nogo,left,NA,1,weak,NA,NA,199.8,0.2,200.05,0.2,200.25,0.03333333333333333,200.28333333333333,0.016666666666666666,200.3,1.3,right,12,0.21328407916917058
p05,1,1,20,go,right,right,1,strong,0.409,208.608,201.6,0.2,201.85,0.016666666666666666,201.86666666666667,0.03333333333333333,201.9,0.2,202.1,1.3,right,12,0.017700531983791734
p05,1,1,21,go,right,right,1,weak,0.214,210.315,203.4,0.2,203.65,0.2,203.85,0.03333333333333333,203.88333333333333,0.016666666666666666,203.9,1.3,right,12,0.2133837839555781
p05,1,1,22,go,right,right,1,weak,0.249,212.252,205.2,0.2,205.45,0.2,205.65,0.03333333333333333,205.68333333333334,0.016666666666666666,205.7,1.3,right,12,0.21330079438303073
p05,1,1,23,nogo,left,right,0,strong,0.463,214.172,207.0,0.2,207.25,0.016666666666666666,207.26666666666668,0.03333333333333333,207.3,0.2,207.5,1.3,right,12,0.017933665232703788
p05,1,1,24,go,right,right,1,strong,0.427,215.843,208.8,0.2,209.05,0.016666666666666666,209.06666666666666,0.03333333333333333,209.1,0.2,209.3,1.3,right,12,0.01757502125292376
p05,1,1,25,Rest,Rest,Rest,Rest,Rest,Rest,Rest,210.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,26,go,right,right,1,weak,0.178,219.417,212.4,0.2,212.65,0.2,212.85,0.03333333333333333,212.88333333333333,0.016666666666666666,212.9,1.3,right,12,0.21330050113374455
p05,1,1,27,nogo,left,right,0,strong,0.48,221.426,214.2,0.2,214.45,0.016666666666666666,214.46666666666667,0.03333333333333333,214.5,0.2,214.7,1.3,right,12,0.017760941354026727
p05,1,1,28,nogo,left,NA,1,weak,NA,NA,216.0,0.2,216.25,0.2,216.45,0.03333333333333333,216.48333333333332,0.016666666666666666,216.5,1.3,right,12,0.21342278612064547
p05,1,1,29,Rest,Rest,Rest,Rest,Rest,Rest,Rest,217.8,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,30,catch,NA,right,1,catch,0.374,226.795,219.6,0.2,219.85,0.0,219.85,0.0,219.85,0.25,220.1,1.3,right,12,1.964770763152046e-05
p05,1,1,31,Rest,Rest,Rest,Rest,Rest,Rest,Rest,221.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,32,catch,NA,right,1,catch,0.445,230.439,223.2,0.2,223.45,0.0,223.45,0.0,223.45,0.25,223.7,1.3,right,12,1.9061209059145767e-05
p05,1,1,33,nogo,left,NA,1,weak,NA,NA,225.0,0.2,225.25,0.2,225.45,0.03333333333333333,225.48333333333332,0.016666666666666666,225.5,1.3,right,12,0.21334976702746644
p05,1,1,34,catch,NA,right,1,catch,0.321,233.87,226.8,0.2,227.05,0.0,227.05,0.0,227.05,0.25,227.3,1.3,right,12,1.9354458345333114e-05
p05,1,1,35,Rest,Rest,Rest,Rest,Rest,Rest,Rest,228.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,36,nogo,left,right,0,strong,0.392,237.568,230.4,0.2,230.65,0.016666666666666666,230.66666666666666,0.03333333333333333,230.7,0.2,230.9,1.3,right,12,0.017848329665866913
p05,1,1,37,go,right,right,1,strong,0.392,239.275,232.2,0.2,232.45,0.016666666666666666,232.46666666666667,0.03333333333333333,232.5,0.2,232.7,1.3,right,12,0.017789093293686165
p05,1,1,38,Rest,Rest,Rest,Rest,Rest,Rest,Rest,234.0,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,1,39,go,right,right,1,strong,0.392,242.902,235.8,0.2,236.05,0.016666666666666666,236.06666666666666,0.03333333333333333,236.1,0.2,236.3,1.3,right,12,0.018044220245428733
p05,1,1,40,Rest,Rest,Rest,Rest,Rest,Rest,Rest,237.6,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p05,1,1,41,go,right,right,1,strong,0.409,248.466,241.2,0.2,241.45,0.016666666666666666,241.46666666666667,0.03333333333333333,241.5,0.2,241.7,1.3,right,12,0.017756542612914927
p05,1,1,42,catch,NA,right,1,catch,0.427,250.137,243.0,0.2,243.25,0.0,243.25,0.0,243.25,0.25,243.5,1.3,right,12,1.964770763152046e-05
p05,1,1,43,go,right,right,1,strong,0.409,251.826,244.8,0.2,245.05,0.016666666666666666,245.06666666666666,0.03333333333333333,245.1,0.2,245.3,1.3,right,12,0.017758302109541546
p05,1,1,44,nogo,left,right,0,strong,0.409,253.533,246.6,0.2,246.85,0.016666666666666666,246.86666666666667,0.03333333333333333,246.9,0.2,247.1,1.3,right,12,0.017771205081771768
p05,1,1,1,catch,NA,right,1,catch,0.463,261.64,252.6,0.2,252.85,0.0,252.85,0.0,252.85,0.25,253.1,1.3,right,12,1.8474710486771073e-05
p05,1,1,2,nogo,left,NA,1,weak,NA,NA,254.4,0.2,254.65,0.2,254.85,0.03333333333333333,254.88333333333333,0.016666666666666666,254.9,1.3,right,12,0.21335328602071968
p05,1,1,3,nogo,left,NA,1,weak,NA,NA,256.2,0.2,256.45,0.2,256.65,0.03333333333333333,256.68333333333334,0.016666666666666666,256.7,1.3,right,12,0.21325504748165258
p05,1,1,4,go,right,right,1,weak,0.196,267.08,258.0,0.2,258.25,0.2,258.45,0.03333333333333333,258.48333333333335,0.016666666666666666,258.5,1.3,right,12,0.21329551589406037
