subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p09,1,4,1,nogo,left,right,0,weak,0.765,1.182,0.0,0.2,0.25,0.1,0.35,0.03333333333333333,0.38333333333333336,0.11666666666666667,0.5,1.3,right,6,0.10670142258459236
p09,1,4,2,go,right,right,1,strong,0.498,2.622,1.8,0.2,2.05,0.016666666666666666,2.066666666666667,0.03333333333333333,2.1,0.2,2.3,1.3,right,6,0.017853608154837275
p09,1,4,3,go,right,right,1,weak,0.321,4.24,3.6,0.2,3.85,0.1,3.95,0.03333333333333333,3.9833333333333334,0.11666666666666667,4.1,1.3,right,6,0.1066096355280024
p09,1,4,4,nogo,left,NA,1,weak,NA,NA,5.4,0.2,5.65,0.1,5.75,0.03333333333333333,5.783333333333333,0.11666666666666667,5.9,1.3,right,6,0.10656183588434942
p09,1,4,5,go,right,right,1,weak,0.552,8.062,7.2,0.2,7.45,0.1,7.55,0.03333333333333333,7.583333333333333,0.11666666666666667,7.7,1.3,right,6,0.10670670106992475
p09,1,4,6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,9.0,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,4,7,nogo,left,right,0,strong,0.641,11.777,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,right,6,0.017804635510401567
p09,1,4,8,nogo,left,right,0,strong,0.676,13.52,12.6,0.2,12.85,0.016666666666666666,12.866666666666667,0.03333333333333333,12.9,0.2,13.1,1.3,right,6,0.01774921137985075
p09,1,4,9,catch,NA,right,1,catch,0.534,15.031,14.4,0.2,14.65,0.0,14.65,0.0,14.65,0.25,14.9,1.3,right,6,1.818145756260492e-05
p09,1,4,10,nogo,left,NA,1,weak,NA,NA,16.2,0.2,16.45,0.1,16.55,0.03333333333333333,16.583333333333332,0.11666666666666667,16.7,1.3,right,6,0.10681901557836682
p09,1,4,11,go,right,NA,0,strong,NA,NA,18.0,0.2,18.25,0.016666666666666666,18.266666666666666,0.03333333333333333,18.3,0.2,18.5,1.3,right,6,0.017701704979117494
p09,1,4,12,nogo,left,NA,1,weak,NA,NA,19.8,0.2,20.05,0.1,20.15,0.03333333333333333,20.183333333333334,0.11666666666666667,20.3,1.3,right,6,0.1068099248514045
p09,1,4,13,Rest,Rest,Rest,Rest,Rest,Rest,Rest,21.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,4,14,catch,NA,right,1,catch,0.676,24.044,23.4,0.2,23.65,0.0,23.65,0.0,23.65,0.25,23.9,1.3,right,6,1.9940958736697212e-05
p09,1,4,15,nogo,left,right,0,strong,0.409,25.484,25.2,0.2,25.45,0.016666666666666666,25.466666666666665,0.03333333333333333,25.5,0.2,25.7,1.3,right,6,0.01785155540710548
p09,1,4,16,Rest,Rest,Rest,Rest,Rest,Rest,Rest,27.0,5.4,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,5.4
p09,1,4,17,go,right,right,1,weak,0.409,33.04,32.4,0.2,32.65,0.1,32.75,0.03333333333333333,32.78333333333333,0.11666666666666667,32.9,1.3,right,6,0.10664130646182457
p09,1,4,18,nogo,left,right,0,strong,0.445,34.782,34.2,0.2,34.45,0.016666666666666666,34.46666666666667,0.03333333333333333,34.5,0.2,34.7,1.3,right,6,0.017800236772018252
p09,1,4,19,go,right,right,1,weak,0.356,36.489,36.0,0.2,36.25,0.1,36.35,0.03333333333333333,36.38333333333333,0.11666666666666667,36.5,1.3,right,6,0.10648471129752579
p09,1,4,20,nogo,left,right,0,strong,0.445,38.284,37.8,0.2,38.05,0.016666666666666666,38.06666666666667,0.03333333333333333,38.1,0.2,38.3,1.3,right,6,0.017743346394127002
p09,1,4,21,nogo,left,NA,1,weak,NA,NA,39.6,0.2,39.85,0.1,39.95,0.03333333333333333,39.983333333333334,0.11666666666666667,40.1,1.3,right,6,0.10676857668659068
p09,1,4,22,Rest,Rest,Rest,Rest,Rest,Rest,Rest,41.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,4,23,go,right,right,1,weak,0.747,44.098,43.2,0.2,43.45,0.1,43.55,0.03333333333333333,43.583333333333336,0.11666666666666667,43.7,1.3,right,6,0.1065762051002821
p09,1,4,24,Rest,Rest,Rest,Rest,Rest,Rest,Rest,45.0,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,4,25,go,right,right,1,strong,0.409,47.387,46.8,0.2,47.05,0.016666666666666666,47.06666666666667,0.03333333333333333,47.1,0.2,47.3,1.3,right,6,0.01782252372140647
p09,1,4,26,nogo,left,right,0,strong,0.445,49.129,48.6,0.2,48.85,0.016666666666666666,48.86666666666667,0.03333333333333333,48.9,0.2,49.1,1.3,right,6,0.017844517424236983
p09,1,4,27,catch,NA,right,1,catch,0.445,50.782,50.4,0.2,50.65,0.0,50.65,0.0,50.65,0.25,50.9,1.3,right,6,1.8474711396265775e-05
p09,1,4,28,go,right,right,1,strong,0.445,52.489,52.2,0.2,52.45,0.016666666666666666,52.46666666666667,0.03333333333333333,52.5,0.2,52.7,1.3,right,6,0.017912844527018024
p09,1,4,29,Rest,Rest,Rest,Rest,Rest,Rest,Rest,54.0,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,4,30,go,right,right,1,strong,0.498,56.169,55.8,0.2,56.05,0.016666666666666666,56.06666666666667,0.03333333333333333,56.1,0.2,56.3,1.3,right,6,0.017816658735682722
p09,1,4,31,nogo,left,right,0,strong,0.392,57.769,57.6,0.2,57.85,0.016666666666666666,57.86666666666667,0.03333333333333333,57.9,0.2,58.1,1.3,right,6,0.01784774316547555
p09,1,4,32,go,right,right,1,weak,0.409,59.582,59.4,0.2,59.65,0.1,59.75,0.03333333333333333,59.78333333333333,0.11666666666666667,59.9,1.3,right,6,0.10669555759523064
p09,1,4,33,go,right,right,1,strong,0.498,61.378,61.2,0.2,61.45,0.016666666666666666,61.46666666666667,0.03333333333333333,61.5,0.2,61.7,1.3,right,6,0.01781636548548704
p09,1,4,34,catch,NA,right,1,catch,0.445,62.978,63.0,0.2,63.25,0.0,63.25,0.0,63.25,0.25,63.5,1.3,right,6,1.8767957953969017e-05
p09,1,4,35,go,right,right,1,weak,0.747,65.076,64.8,0.2,65.05,0.1,65.15,0.03333333333333333,65.18333333333334,0.11666666666666667,65.3,1.3,right,6,0.10680904510081746
p09,1,4,36,go,right,right,1,strong,0.569,66.605,66.6,0.2,66.85,0.016666666666666666,66.86666666666666,0.03333333333333333,66.9,0.2,67.1,1.3,right,6,0.017821643974457402
p09,1,4,37,nogo,left,right,0,strong,0.356,68.098,68.4,0.2,68.65,0.016666666666666666,68.66666666666667,0.03333333333333333,68.7,0.2,68.9,1.3,right,6,0.017786454049200984
