subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p07,1,4,1,nogo,left,NA,1,strong,NA,NA,0.0,0.2,0.25,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.3,0.2,0.5,1.3,right,12,0.017728683924360666
p07,1,4,2,nogo,left,NA,1,weak,NA,NA,1.8,0.2,2.05,0.2,2.25,0.03333333333333333,2.283333333333333,0.016666666666666666,2.3,1.3,right,12,0.2132412647606543
p07,1,4,3,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p07,1,4,4,nogo,left,NA,1,weak,NA,NA,5.4,0.2,5.65,0.2,5.85,0.03333333333333333,5.883333333333334,0.016666666666666666,5.9,1.3,right,12,0.21340079241963394
p07,1,4,5,nogo,left,NA,1,weak,NA,NA,7.2,0.2,7.45,0.2,7.65,0.03333333333333333,7.683333333333334,0.016666666666666666,7.7,1.3,right,12,0.2135110541821632
p07,1,4,6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,9.0,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p07,1,4,7,go,right,right,1,weak,0.196,13.885,12.6,0.2,12.85,0.2,13.05,0.03333333333333333,13.083333333333334,0.016666666666666666,13.1,1.3,right,12,0.21328642516346008
p07,1,4,8,nogo,left,right,0,strong,0.729,16.125,14.4,0.2,14.65,0.016666666666666666,14.666666666666666,0.03333333333333333,14.7,0.2,14.9,1.3,right,12,0.01784657017014979
p07,1,4,9,go,right,right,1,strong,0.409,17.512,16.2,0.2,16.45,0.016666666666666666,16.466666666666665,0.03333333333333333,16.5,0.2,16.7,1.3,right,12,0.017862112386865192
p07,1,4,10,catch,NA,right,1,catch,0.747,19.503,18.0,0.2,18.25,0.0,18.25,0.0,18.25,0.25,18.5,1.3,right,12,1.7301714251516387e-05
p07,1,4,11,go,right,right,1,weak,0.214,20.872,19.8,0.2,20.05,0.2,20.25,0.03333333333333333,20.283333333333335,0.016666666666666666,20.3,1.3,right,12,0.21334888727869838
