subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p07,1,3,1,go,right,NA,0,strong,NA,NA,0.0,0.2,0.25,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.3,0.2,0.5,1.3,right,12,0.017828095458753523
p07,1,3,2,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p07,1,3,3,nogo,left,NA,1,weak,NA,NA,3.6,0.2,3.85,0.2,4.05,0.03333333333333333,4.083333333333333,0.016666666666666666,4.1,1.3,right,12,0.2132145790692448
p07,1,3,4,catch,NA,right,1,catch,0.676,6.477,5.4,0.2,5.65,0.0,5.65,0.0,5.65,0.25,5.9,1.3,right,12,1.8181461200583726e-05
p07,1,3,5,nogo,left,NA,1,strong,NA,NA,7.2,0.2,7.45,0.016666666666666666,7.466666666666667,0.03333333333333333,7.5,0.2,7.7,1.3,right,12,0.017733375912939664
p07,1,3,6,go,right,right,1,weak,0.213,9.623,9.0,0.2,9.25,0.2,9.45,0.03333333333333333,9.483333333333333,0.016666666666666666,9.5,1.3,right,12,0.21342806460961583
p07,1,3,7,go,right,right,1,strong,0.427,11.543,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,right,12,0.01788586558541283
p07,1,3,8,go,right,right,1,strong,0.427,13.25,12.6,0.2,12.85,0.016666666666666666,12.866666666666667,0.03333333333333333,12.9,0.2,13.1,1.3,right,12,0.017732496164171607
p07,1,3,9,Rest,Rest,Rest,Rest,Rest,Rest,Rest,14.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p07,1,3,10,catch,NA,right,1,catch,0.605,17.001,16.2,0.2,16.45,0.0,16.45,0.0,16.45,0.25,16.7,1.3,right,12,1.8181461200583726e-05
p07,1,3,11,nogo,left,NA,1,weak,NA,NA,18.0,0.2,18.25,0.2,18.45,0.03333333333333333,18.483333333333334,0.016666666666666666,18.5,1.3,right,12,0.21333598430646816
p07,1,3,12,go,right,right,1,weak,0.214,20.415,19.8,0.2,20.05,0.2,20.25,0.03333333333333333,20.283333333333335,0.016666666666666666,20.3,1.3,right,12,0.21334096954706183
