subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p06,1,3,1,go,right,NA,0,weak,NA,NA,0.0,0.2,0.25,0.06666666666666667,0.31666666666666665,0.03333333333333333,0.35,0.15,0.5,1.3,right,4,0.07110828027725802
p06,1,3,2,nogo,left,right,0,strong,0.445,2.531,1.8,0.2,2.05,0.016666666666666666,2.066666666666667,0.03333333333333333,2.1,0.2,2.3,1.3,right,4,0.017830734705057694
p06,1,3,3,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,3,4,nogo,left,right,0,weak,0.409,6.175,5.4,0.2,5.65,0.06666666666666667,5.716666666666667,0.03333333333333333,5.75,0.15,5.9,1.3,right,4,0.07108745957157225
p06,1,3,5,go,right,right,1,weak,0.374,7.9,7.2,0.2,7.45,0.06666666666666667,7.516666666666667,0.03333333333333333,7.55,0.15,7.7,1.3,right,4,0.07112030350253917
p06,1,3,6,go,right,right,1,strong,0.427,9.66,9.0,0.2,9.25,0.016666666666666666,9.266666666666667,0.03333333333333333,9.3,0.2,9.5,1.3,right,4,0.01772897717273736
p06,1,3,7,nogo,left,right,0,strong,0.427,11.367,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,right,4,0.017714901201543398
p06,1,3,8,go,right,right,1,strong,0.622,13.269,12.6,0.2,12.85,0.016666666666666666,12.866666666666667,0.03333333333333333,12.9,0.2,13.1,1.3,right,4,0.017756542612914927
p06,1,3,9,go,right,right,1,weak,0.356,14.762,14.4,0.2,14.65,0.06666666666666667,14.716666666666667,0.03333333333333333,14.75,0.15,14.9,1.3,right,4,0.07111502501356881
p06,1,3,10,go,right,right,1,weak,0.303,16.469,16.2,0.2,16.45,0.06666666666666667,16.516666666666666,0.03333333333333333,16.55,0.15,16.7,1.3,right,4,0.07102763670081913
p06,1,3,11,nogo,left,NA,1,weak,NA,NA,18.0,0.2,18.25,0.06666666666666667,18.316666666666666,0.03333333333333333,18.35,0.15,18.5,1.3,right,4,0.07117074239249632
p06,1,3,12,nogo,left,right,0,strong,0.498,20.131,19.8,0.2,20.05,0.016666666666666666,20.066666666666666,0.03333333333333333,20.1,0.2,20.3,1.3,right,4,0.017677951782388845
p06,1,3,13,nogo,left,NA,1,weak,NA,NA,21.6,0.2,21.85,0.06666666666666667,21.916666666666668,0.03333333333333333,21.95,0.15,22.1,1.3,right,4,0.07119948083163763
p06,1,3,14,go,right,right,1,strong,0.392,23.491,23.4,0.2,23.65,0.016666666666666666,23.666666666666668,0.03333333333333333,23.7,0.2,23.9,1.3,right,4,0.017733962413331028
p06,1,3,15,nogo,left,right,0,strong,0.427,25.233,25.2,0.2,25.45,0.016666666666666666,25.466666666666665,0.03333333333333333,25.5,0.2,25.7,1.3,right,4,0.017836013192209066
p06,1,3,16,go,right,right,1,strong,0.463,26.976,27.0,0.2,27.25,0.016666666666666666,27.266666666666666,0.03333333333333333,27.3,0.2,27.5,1.3,right,4,0.01775683586311061
p06,1,3,17,go,right,right,1,strong,0.445,28.664,28.8,0.2,29.05,0.016666666666666666,29.066666666666666,0.03333333333333333,29.1,0.2,29.3,1.3,right,4,0.017877947853776277
p06,1,3,18,go,right,right,1,strong,0.587,30.514,30.6,0.2,30.85,0.016666666666666666,30.866666666666667,0.03333333333333333,30.9,0.2,31.1,1.3,right,4,0.01782369671855122
p06,1,3,19,catch,NA,right,1,catch,0.516,32.096,32.4,0.2,32.65,0.0,32.65,0.0,32.65,0.25,32.9,1.3,right,4,1.671521386015229e-05
p06,1,3,20,go,right,right,1,weak,0.392,33.732,34.2,0.2,34.45,0.06666666666666667,34.516666666666666,0.03333333333333333,34.55,0.15,34.7,1.3,right,4,0.0705153300496022
p06,1,3,21,nogo,left,NA,1,strong,NA,NA,36.0,0.2,36.25,0.016666666666666666,36.266666666666666,0.03333333333333333,36.3,0.2,36.5,1.3,right,4,0.01765067959058797
p06,1,3,22,Rest,Rest,Rest,Rest,Rest,Rest,Rest,37.8,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p06,1,3,23,nogo,left,right,0,strong,0.57,41.163,41.4,0.2,41.65,0.016666666666666666,41.666666666666664,0.03333333333333333,41.7,0.2,41.9,1.3,right,4,0.017794078532460844
p06,1,3,24,Rest,Rest,Rest,Rest,Rest,Rest,Rest,43.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,3,25,go,right,NA,0,strong,NA,NA,45.0,0.2,45.25,0.016666666666666666,45.266666666666666,0.03333333333333333,45.3,0.2,45.5,1.3,right,4,0.017707276720102527
p06,1,3,26,Rest,Rest,Rest,Rest,Rest,Rest,Rest,46.8,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,3,27,nogo,left,right,0,weak,0.765,48.664,48.6,0.2,48.85,0.06666666666666667,48.916666666666664,0.03333333333333333,48.95,0.15,49.1,1.3,right,4,0.0714188313595514
p06,1,3,28,nogo,left,right,0,strong,0.961,50.567,50.4,0.2,50.65,0.016666666666666666,50.666666666666664,0.03333333333333333,50.7,0.2,50.9,1.3,right,4,0.01745742825551133
p06,1,3,29,Rest,Rest,Rest,Rest,Rest,Rest,Rest,52.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,3,30,go,right,right,1,weak,0.392,53.678,54.0,0.2,54.25,0.06666666666666667,54.31666666666667,0.03333333333333333,54.35,0.15,54.5,1.3,right,4,0.07109156506339787
p06,1,3,31,nogo,left,NA,1,weak,NA,NA,55.8,0.2,56.05,0.06666666666666667,56.11666666666667,0.03333333333333333,56.15,0.15,56.3,1.3,right,4,0.0711153182619455
p06,1,3,32,nogo,left,NA,1,weak,NA,NA,57.6,0.2,57.85,0.06666666666666667,57.916666666666664,0.03333333333333333,57.95,0.15,58.1,1.3,right,4,0.07117660738003906
p06,1,3,33,Rest,Rest,Rest,Rest,Rest,Rest,Rest,59.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,3,34,go,right,right,1,weak,0.427,60.914,61.2,0.2,61.45,0.06666666666666667,61.516666666666666,0.03333333333333333,61.55,0.15,61.7,1.3,right,4,0.07110300178828766
