subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p05,1,3,1,go,right,right,1,weak,0.481,0.895,0.0,0.2,0.25,0.1,0.35,0.03333333333333333,0.38333333333333336,0.11666666666666667,0.5,1.3,right,6,0.10665127694028342
p05,1,3,2,nogo,left,right,0,strong,0.445,2.566,1.8,0.2,2.05,0.016666666666666666,2.066666666666667,0.03333333333333333,2.1,0.2,2.3,1.3,right,6,0.017771205081771768
p05,1,3,3,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p05,1,3,4,nogo,left,NA,1,weak,NA,NA,5.4,0.2,5.65,0.1,5.75,0.03333333333333333,5.783333333333333,0.11666666666666667,5.9,1.3,right,6,0.10680875185153127
p05,1,3,5,go,right,right,1,weak,0.339,7.971,7.2,0.2,7.45,0.1,7.55,0.03333333333333333,7.583333333333333,0.11666666666666667,7.7,1.3,right,6,0.10656447512610612
p05,1,3,6,go,right,right,1,strong,0.338,9.677,9.0,0.2,9.25,0.016666666666666666,9.266666666666667,0.03333333333333333,9.3,0.2,9.5,1.3,right,6,0.01791929601404263
p05,1,3,7,nogo,left,right,0,strong,0.463,11.508,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,right,6,0.017888211580611824
p05,1,3,8,go,right,right,1,strong,0.392,13.144,12.6,0.2,12.85,0.016666666666666666,12.866666666666667,0.03333333333333333,12.9,0.2,13.1,1.3,right,6,0.017871203117465484
p05,1,3,9,go,right,right,1,weak,0.303,14.851,14.4,0.2,14.65,0.1,14.75,0.03333333333333333,14.783333333333333,0.11666666666666667,14.9,1.3,right,6,0.10665596892977192
p05,1,3,10,go,right,right,1,weak,0.285,16.629,16.2,0.2,16.45,0.1,16.55,0.03333333333333333,16.583333333333332,0.11666666666666667,16.7,1.3,right,6,0.10657356585670641
