subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p08,1,2,1,nogo,left,right,0,strong,0.459,0.786,0.0,0.2,0.25,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.3,0.2,0.5,1.3,right,8,0.017709329466015333
p08,1,2,2,catch,NA,right,1,catch,0.374,2.351,1.8,0.2,2.05,0.0,2.05,0.0,2.05,0.25,2.3,1.3,right,8,1.7888211004901677e-05
p08,1,2,3,go,right,right,1,strong,0.267,3.951,3.6,0.2,3.85,0.016666666666666666,3.8666666666666667,0.03333333333333333,3.9,0.2,4.1,1.3,right,8,0.017850675660156412
p08,1,2,4,nogo,left,right,0,weak,0.142,5.658,5.4,0.2,5.65,0.13333333333333333,5.783333333333333,0.03333333333333333,5.816666666666666,0.08333333333333333,5.9,1.3,right,8,0.14229192564380355
p08,1,2,5,nogo,left,NA,1,weak,NA,NA,7.2,0.2,7.45,0.13333333333333333,7.583333333333333,0.03333333333333333,7.616666666666666,0.08333333333333333,7.7,1.3,right,8,0.1422218390434864
p08,1,2,6,go,right,NA,0,strong,NA,NA,9.0,0.2,9.25,0.016666666666666666,9.266666666666667,0.03333333333333333,9.3,0.2,9.5,1.3,right,8,0.0178263359630364
p08,1,2,7,nogo,left,right,0,strong,0.658,11.417,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,right,8,0.017894076569064055
p08,1,2,8,nogo,left,right,0,strong,0.392,12.858,12.6,0.2,12.85,0.016666666666666666,12.866666666666667,0.03333333333333333,12.9,0.2,13.1,1.3,right,8,0.017862698885437567
p08,1,2,9,go,right,right,1,strong,0.356,14.529,14.4,0.2,14.65,0.016666666666666666,14.666666666666666,0.03333333333333333,14.7,0.2,14.9,1.3,right,8,0.017820764223870356
p08,1,2,10,Rest,Rest,Rest,Rest,Rest,Rest,Rest,16.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p08,1,2,11,go,right,right,1,strong,0.374,18.173,18.0,0.2,18.25,0.016666666666666666,18.266666666666666,0.03333333333333333,18.3,0.2,18.5,1.3,right,8,0.01788586558541283
