subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p06,1,2,1,nogo,left,right,0,strong,0.443,0.767,0.0,0.2,0.25,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.3,0.2,0.5,1.3,right,12,0.017828681959144888
p06,1,2,2,catch,NA,right,1,catch,0.356,2.33,1.8,0.2,2.05,0.0,2.05,0.0,2.05,0.25,2.3,1.3,right,12,1.671521386015229e-05
p06,1,2,3,go,right,right,1,strong,0.303,3.984,3.6,0.2,3.85,0.016666666666666666,3.8666666666666667,0.03333333333333333,3.9,0.2,4.1,1.3,right,12,0.017751557374140248
p06,1,2,4,nogo,left,right,0,weak,0.125,5.708,5.4,0.2,5.65,0.2,5.85,0.03333333333333333,5.883333333333334,0.016666666666666666,5.9,1.3,right,12,0.21332923957197636
p06,1,2,5,nogo,left,NA,1,weak,NA,NA,7.2,0.2,7.45,0.2,7.65,0.03333333333333333,7.683333333333334,0.016666666666666666,7.7,1.3,right,12,0.21336912148581177
p06,1,2,6,go,right,right,1,strong,0.356,9.548,9.0,0.2,9.25,0.016666666666666666,9.266666666666667,0.03333333333333333,9.3,0.2,9.5,1.3,right,12,0.017780589061658247
p06,1,2,7,nogo,left,NA,1,strong,NA,NA,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,right,12,0.01778469455166487
p06,1,2,8,nogo,left,right,0,strong,0.445,13.05,12.6,0.2,12.85,0.016666666666666666,12.866666666666667,0.03333333333333333,12.9,0.2,13.1,1.3,right,12,0.017728683922541677
p06,1,2,9,go,right,right,1,strong,0.427,14.739,14.4,0.2,14.65,0.016666666666666666,14.666666666666666,0.03333333333333333,14.7,0.2,14.9,1.3,right,12,0.017889091330289375
p06,1,2,10,Rest,Rest,Rest,Rest,Rest,Rest,Rest,16.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,2,11,go,right,right,1,strong,0.445,18.384,18.0,0.2,18.25,0.016666666666666666,18.266666666666666,0.03333333333333333,18.3,0.2,18.5,1.3,right,12,0.017877361353384913
p06,1,2,12,go,right,right,1,weak,0.214,20.055,19.8,0.2,20.05,0.2,20.25,0.03333333333333333,20.283333333333335,0.016666666666666666,20.3,1.3,right,12,0.21338671645025897
p06,1,2,13,nogo,left,NA,1,weak,NA,NA,21.6,0.2,21.85,0.2,22.05,0.03333333333333333,22.083333333333332,0.016666666666666666,22.1,1.3,right,12,0.20986713750608033
p06,1,2,14,nogo,left,NA,1,weak,NA,NA,23.4,0.2,23.65,0.2,23.85,0.03333333333333333,23.883333333333333,0.016666666666666666,23.9,1.3,right,12,0.21333187881646154
p06,1,2,15,nogo,left,right,0,weak,0.089,25.637,25.2,0.2,25.45,0.2,25.65,0.03333333333333333,25.683333333333334,0.016666666666666666,25.7,1.3,right,12,0.21333774380400428
p06,1,2,16,nogo,left,NA,1,strong,NA,NA,27.0,0.2,27.25,0.016666666666666666,27.266666666666666,0.03333333333333333,27.3,0.2,27.5,1.3,right,12,0.017764167096174788
p06,1,2,17,Rest,Rest,Rest,Rest,Rest,Rest,Rest,28.8,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,2,18,catch,NA,right,1,catch,0.463,31.291,30.6,0.2,30.85,0.0,30.85,0.0,30.85,0.25,31.1,1.3,right,12,1.7594962628209032e-05
p06,1,2,19,Rest,Rest,Rest,Rest,Rest,Rest,Rest,32.4,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p06,1,2,20,go,right,right,1,weak,0.232,36.802,36.0,0.2,36.25,0.2,36.45,0.03333333333333333,36.483333333333334,0.016666666666666666,36.5,1.3,right,12,0.21330988511545002
p06,1,2,21,Rest,Rest,Rest,Rest,Rest,Rest,Rest,37.8,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p06,1,2,22,nogo,left,right,0,strong,0.694,42.811,41.4,0.2,41.65,0.016666666666666666,41.666666666666664,0.03333333333333333,41.7,0.2,41.9,1.3,right,12,0.017815778985095676
p06,1,2,23,go,right,right,1,weak,0.16,44.18,43.2,0.2,43.45,0.2,43.65,0.03333333333333333,43.68333333333333,0.016666666666666666,43.7,1.3,right,12,0.21333569105809147
p06,1,2,24,go,right,right,1,strong,0.48,46.206,45.0,0.2,45.25,0.016666666666666666,45.266666666666666,0.03333333333333333,45.3,0.2,45.5,1.3,right,12,0.017885279086840455
p06,1,2,25,go,right,right,1,weak,0.178,47.807,46.8,0.2,47.05,0.2,47.25,0.03333333333333333,47.28333333333333,0.016666666666666666,47.3,1.3,right,12,0.21326179221614439
p06,1,2,26,Rest,Rest,Rest,Rest,Rest,Rest,Rest,48.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,2,27,go,right,right,1,strong,0.303,51.558,50.4,0.2,50.65,0.016666666666666666,50.666666666666664,0.03333333333333333,50.7,0.2,50.9,1.3,right,12,0.01782780221037683
p06,1,2,28,nogo,left,right,0,strong,0.445,53.407,52.2,0.2,52.45,0.016666666666666666,52.46666666666667,0.03333333333333333,52.5,0.2,52.7,1.3,right,12,0.017699065736451303
