subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p06,1,4,1,nogo,left,right,0,weak,0.409,0.777,0.0,0.2,0.25,0.06666666666666667,0.31666666666666665,0.03333333333333333,0.35,0.15,0.5,1.3,right,4,0.07106429287159699
p06,1,4,2,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,4,3,go,right,right,1,weak,0.338,4.386,3.6,0.2,3.85,0.06666666666666667,3.9166666666666665,0.03333333333333333,3.95,0.15,4.1,1.3,right,4,0.07113643221600796
p06,1,4,4,nogo,left,right,0,strong,0.534,6.289,5.4,0.2,5.65,0.016666666666666666,5.666666666666667,0.03333333333333333,5.7,0.2,5.9,1.3,right,4,0.01766475555996294
p06,1,4,5,nogo,left,NA,1,strong,NA,NA,7.2,0.2,7.45,0.016666666666666666,7.466666666666667,0.03333333333333333,7.5,0.2,7.7,1.3,right,4,0.01782516296589165
p06,1,4,6,go,right,right,1,strong,0.445,9.613,9.0,0.2,9.25,0.016666666666666666,9.266666666666667,0.03333333333333333,9.3,0.2,9.5,1.3,right,4,0.017796717778765014
p06,1,4,7,go,right,right,1,strong,0.463,11.337,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,right,4,0.017714314704790013
p06,1,4,8,go,right,right,1,strong,0.427,13.009,12.6,0.2,12.85,0.016666666666666666,12.866666666666667,0.03333333333333333,12.9,0.2,13.1,1.3,right,4,0.01786181913666951
p06,1,4,9,nogo,left,right,0,strong,0.445,14.733,14.4,0.2,14.65,0.016666666666666666,14.666666666666666,0.03333333333333333,14.7,0.2,14.9,1.3,right,4,0.017728683924360666
p06,1,4,10,go,right,right,1,strong,0.463,16.458,16.2,0.2,16.45,0.016666666666666666,16.466666666666665,0.03333333333333333,16.5,0.2,16.7,1.3,right,4,0.01779114603959897
p06,1,4,11,go,right,right,1,weak,0.338,18.093,18.0,0.2,18.25,0.06666666666666667,18.316666666666666,0.03333333333333333,18.35,0.15,18.5,1.3,right,4,0.07100447000084387
p06,1,4,12,Rest,Rest,Rest,Rest,Rest,Rest,Rest,19.8,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p06,1,4,13,go,right,right,1,weak,0.338,23.693,23.4,0.2,23.65,0.06666666666666667,23.716666666666665,0.03333333333333333,23.75,0.15,23.9,1.3,right,4,0.07110300179010665
p06,1,4,14,go,right,right,1,weak,0.285,25.4,25.2,0.2,25.45,0.06666666666666667,25.516666666666666,0.03333333333333333,25.55,0.15,25.7,1.3,right,4,0.07114493644803588
p06,1,4,15,catch,NA,right,1,catch,0.463,27.231,27.0,0.2,27.25,0.0,27.25,0.0,27.25,0.25,27.5,1.3,right,4,1.876795977295842e-05
p06,1,4,16,go,right,right,1,weak,0.374,28.902,28.8,0.2,29.05,0.06666666666666667,29.116666666666667,0.03333333333333333,29.15,0.15,29.3,1.3,right,4,0.0712115040550998
p06,1,4,17,Rest,Rest,Rest,Rest,Rest,Rest,Rest,30.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,4,18,nogo,left,right,0,strong,0.409,32.564,32.4,0.2,32.65,0.016666666666666666,32.666666666666664,0.03333333333333333,32.7,0.2,32.9,1.3,right,4,0.01785654064769915
p06,1,4,19,Rest,Rest,Rest,Rest,Rest,Rest,Rest,34.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,4,20,go,right,right,1,strong,0.356,36.138,36.0,0.2,36.25,0.016666666666666666,36.266666666666666,0.03333333333333333,36.3,0.2,36.5,1.3,right,4,0.01781753848263179
p06,1,4,21,nogo,left,NA,1,weak,NA,NA,37.8,0.2,38.05,0.06666666666666667,38.11666666666667,0.03333333333333333,38.15,0.15,38.3,1.3,right,4,0.0710997760452301
p06,1,4,22,nogo,left,NA,1,weak,NA,NA,39.6,0.2,39.85,0.06666666666666667,39.916666666666664,0.03333333333333333,39.95,0.15,40.1,1.3,right,4,0.07111355876622838
p06,1,4,23,nogo,left,right,0,strong,0.836,41.844,41.4,0.2,41.65,0.016666666666666666,41.666666666666664,0.03333333333333333,41.7,0.2,41.9,1.3,right,4,0.0177706185822899
p06,1,4,24,catch,NA,right,1,catch,0.445,43.107,43.2,0.2,43.45,0.0,43.45,0.0,43.45,0.25,43.7,1.3,right,4,1.7301714251516387e-05
p06,1,4,25,catch,NA,right,1,catch,0.463,44.778,45.0,0.2,45.25,0.0,45.25,0.0,45.25,0.25,45.5,1.3,right,4,1.7301714251516387e-05
p06,1,4,26,nogo,left,NA,1,weak,NA,NA,46.8,0.2,47.05,0.06666666666666667,47.11666666666667,0.03333333333333333,47.15,0.15,47.3,1.3,right,4,0.07114053770783357
p06,1,4,27,Rest,Rest,Rest,Rest,Rest,Rest,Rest,48.6,3.6,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6
p06,1,4,28,go,right,right,1,weak,0.374,52.049,52.2,0.2,52.45,0.06666666666666667,52.516666666666666,0.03333333333333333,52.55,0.15,52.7,1.3,right,4,0.07120299982307188
p06,1,4,29,nogo,left,right,0,strong,0.729,54.111,54.0,0.2,54.25,0.016666666666666666,54.266666666666666,0.03333333333333333,54.3,0.2,54.5,1.3,right,4,0.01781900472815323
p06,1,4,30,Rest,Rest,Rest,Rest,Rest,Rest,Rest,55.8,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p06,1,4,31,nogo,left,NA,1,weak,NA,NA,57.6,0.2,57.85,0.06666666666666667,57.916666666666664,0.03333333333333333,57.95,0.15,58.1,1.3,right,4,0.07084230309737904
p06,1,4,32,nogo,left,NA,1,strong,NA,NA,59.4,0.2,59.65,0.016666666666666666,59.666666666666664,0.03333333333333333,59.7,0.2,59.9,1.3,right,4,0.017774137575543136
p06,1,4,33,nogo,left,NA,1,weak,NA,NA,61.2,0.2,61.45,0.06666666666666667,61.516666666666666,0.03333333333333333,61.55,0.15,61.7,1.3,right,4,0.0711264617384586
p06,1,4,34,go,right,right,1,strong,0.534,62.769,63.0,0.2,63.25,0.016666666666666666,63.266666666666666,0.03333333333333333,63.3,0.2,63.5,1.3,right,4,0.017864751631350373
p06,1,4,35,nogo,left,NA,1,strong,NA,NA,64.8,0.2,65.05,0.016666666666666666,65.06666666666666,0.03333333333333333,65.1,0.2,65.3,1.3,right,4,0.01775419661862543
p06,1,4,36,go,right,right,1,weak,0.498,66.2,66.6,0.2,66.85,0.06666666666666667,66.91666666666667,0.03333333333333333,66.95,0.15,67.1,1.3,right,4,0.07116956939535157
