subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
wert,1,3,1,go,left,NA,0,strong,NA,NA,0.0,0.2,0.25,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.3,0.2,0.5,1.3666666666666667,left,12,0.01724870002362877
wert,1,3,2,nogo,right,NA,1,strong,NA,NA,1.8666666666666667,0.2,2.1166666666666667,0.016666666666666666,2.1333333333333333,0.03333333333333333,2.1666666666666665,0.2,2.3666666666666667,1.3,left,12,0.016688999952748418
wert,1,3,3,nogo,right,NA,1,strong,NA,NA,3.6666666666666665,0.2,3.9166666666666665,0.016666666666666666,3.933333333333333,0.03333333333333333,3.966666666666667,0.2,4.166666666666667,1.3666666666666667,left,12,0.01730680000036955
wert,1,3,4,go,left,NA,0,weak,NA,NA,5.533333333333333,0.2,5.783333333333333,0.2,5.983333333333333,0.03333333333333333,6.016666666666667,0.016666666666666666,6.033333333333333,1.6666666666666667,left,12,0.20061299996450543
wert,1,3,5,Rest,Rest,Rest,Rest,Rest,Rest,Rest,7.7,2.0,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2.0
wert,1,3,6,go,left,NA,0,weak,NA,NA,9.7,0.2,9.95,0.2,10.15,0.03333333333333333,10.183333333333334,0.016666666666666666,10.2,1.6666666666666667,left,12,0.1998603999381885
wert,1,3,7,Rest,Rest,Rest,Rest,Rest,Rest,Rest,11.866666666666667,2.0,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2.0
wert,1,3,8,nogo,right,NA,1,strong,NA,NA,13.866666666666667,0.2,14.116666666666667,0.016666666666666666,14.133333333333333,0.03333333333333333,14.166666666666666,0.2,14.366666666666667,1.4,left,12,0.01668740005698055
wert,1,3,9,nogo,right,NA,1,weak,NA,NA,15.766666666666667,0.2,16.016666666666666,0.2,16.216666666666665,0.03333333333333333,16.25,0.016666666666666666,16.266666666666666,1.6666666666666667,left,12,0.200535099953413
