subid,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
rest2,2,1,nogo,right,NA,1,weak,NA,NA,0.0,0.2,0.25,0.11666666666666667,0.36666666666666664,0.03333333333333333,0.4,0.1,0.5,1.3,left,7,0.11776320001808926
rest2,2,2,go,left,NA,0,strong,NA,NA,1.8,0.2,2.05,0.016666666666666666,2.066666666666667,0.03333333333333333,2.1,0.2,2.3,1.3,left,7,0.01690829999279231
rest2,2,3,go,left,NA,0,weak,NA,NA,3.6,0.2,3.85,0.11666666666666667,3.966666666666667,0.03333333333333333,4.0,0.1,4.1,1.3,left,7,0.12076050002360716
rest2,2,4,Rest,Rest,Rest,Rest,Rest,Rest,Rest,5.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
rest2,2,5,go,left,NA,0,strong,NA,NA,7.2,0.2,7.45,0.016666666666666666,7.466666666666667,0.03333333333333333,7.5,0.2,7.7,1.3,left,7,0.0179082999820821
rest2,2,6,go,left,NA,0,weak,NA,NA,9.0,0.2,9.25,0.11666666666666667,9.366666666666667,0.03333333333333333,9.4,0.1,9.5,1.3,left,7,0.11881209997227415
rest2,2,7,go,left,NA,0,strong,NA,NA,10.8,0.2,11.05,0.016666666666666666,11.066666666666666,0.03333333333333333,11.1,0.2,11.3,1.3,left,7,0.015330499969422817
