subid,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
gdxg,3,1,nogo,right,left,0,strong,1.002,1.385,0.0,0.2,0.25,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.3,0.2,0.5,1.3,left,12,0.02082859998336062
gdxg,3,2,nogo,right,right,1,weak,0.356,2.97,1.8,0.2,2.05,0.2,2.25,0.03333333333333333,2.283333333333333,0.016666666666666666,2.3,1.3,left,12,0.24958730000071228
gdxg,3,3,Rest,Rest,Rest,Rest,Rest,Rest,Rest,3.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
gdxg,3,4,nogo,right,right,1,weak,0.23,7.325,5.4,0.2,5.65,0.2,5.85,0.03333333333333333,5.883333333333334,0.016666666666666666,5.9,1.3,left,12,0.24858459999086335
